,Consequent,Antecedents,Support (Count),Confidence (%),Lift (x)
0,Chicken,"('Cod', 'Potatoes, White')",185,92.43243243243244,1.404972972972973
1,Chicken,"('Cod', 'Chicken Egg')",190,91.05263157894737,1.384
2,Chicken,"('Cod', 'Chicken Egg', 'Potatoes, White')",146,92.46575342465754,1.4054794520547946
3,Chicken,"('Cod', 'Carrots')",182,91.20879120879121,1.3863736263736264
4,Chicken,"('Cod', 'Carrots', 'Potatoes, White')",136,93.38235294117648,1.4194117647058824
5,Chicken,"('Cod', 'Carrots', 'Chicken Egg')",129,93.7984496124031,1.4257364341085272
6,Chicken,"('Cod', 'Carrots', 'Chicken Egg', 'Potatoes, White')",107,93.45794392523365,1.4205607476635513
7,Chicken,"('Cod', 'Rice, White')",175,90.85714285714286,1.3810285714285715
8,Chicken,"('Cod', 'Rice, White', 'Potatoes, White')",141,92.90780141843972,1.4121985815602838
9,Chicken,"('Cod', 'Rice, White', 'Chicken Egg')",130,93.07692307692308,1.4147692307692308
10,Chicken,"('Cod', 'Rice, White', 'Chicken Egg', 'Potatoes, White')",112,92.85714285714286,1.4114285714285715
11,Chicken,"('Cod', 'Rice, White', 'Carrots')",132,90.9090909090909,1.3818181818181818
12,Chicken,"('Cod', 'Rice, White', 'Carrots', 'Potatoes, White')",112,92.85714285714286,1.4114285714285715
13,Chicken,"('Cod', 'Rice, White', 'Carrots', 'Chicken Egg')",98,93.87755102040816,1.426938775510204
14,Chicken,"('Cod', 'Rice, White', 'Carrots', 'Chicken Egg', 'Potatoes, White')",87,93.10344827586206,1.4151724137931034
15,Chicken,"('Turkey',)",272,96.32352941176471,1.4641176470588235
16,Chicken,"('Turkey', 'Potatoes, White')",182,98.35164835164835,1.494945054945055
17,Chicken,"('Turkey', 'Chicken Egg')",181,97.23756906077348,1.4780110497237569
18,Chicken,"('Turkey', 'Chicken Egg', 'Potatoes, White')",132,98.48484848484848,1.496969696969697
19,Chicken,"('Turkey', 'Carrots')",178,97.75280898876404,1.4858426966292135
20,Chicken,"('Turkey', 'Carrots', 'Potatoes, White')",133,99.24812030075188,1.5085714285714287
21,Chicken,"('Turkey', 'Carrots', 'Chicken Egg')",124,98.38709677419355,1.495483870967742
22,Chicken,"('Turkey', 'Carrots', 'Chicken Egg', 'Potatoes, White')",98,98.9795918367347,1.5044897959183674
23,Chicken,"('Turkey', 'Rice, White')",172,97.09302325581395,1.475813953488372
24,Chicken,"('Turkey', 'Rice, White', 'Potatoes, White')",141,97.87234042553192,1.4876595744680852
25,Chicken,"('Turkey', 'Rice, White', 'Chicken Egg')",123,98.3739837398374,1.4952845528455285
26,Chicken,"('Turkey', 'Rice, White', 'Chicken Egg', 'Potatoes, White')",103,98.05825242718447,1.490485436893204
27,Chicken,"('Turkey', 'Rice, White', 'Carrots')",128,98.4375,1.49625
28,Chicken,"('Turkey', 'Rice, White', 'Carrots', 'Potatoes, White')",108,99.07407407407408,1.505925925925926
29,Chicken,"('Turkey', 'Rice, White', 'Carrots', 'Chicken Egg')",91,98.9010989010989,1.5032967032967033
30,Chicken,"('Turkey', 'Cod')",191,97.90575916230367,1.4881675392670157
31,Chicken,"('Turkey', 'Cod', 'Potatoes, White')",139,98.56115107913669,1.4981294964028777
32,Chicken,"('Turkey', 'Cod', 'Chicken Egg')",140,98.57142857142858,1.4982857142857142
33,Chicken,"('Turkey', 'Cod', 'Chicken Egg', 'Potatoes, White')",113,98.23008849557522,1.4930973451327434
34,Chicken,"('Turkey', 'Cod', 'Carrots')",135,98.51851851851852,1.4974814814814814
35,Chicken,"('Turkey', 'Cod', 'Carrots', 'Potatoes, White')",102,99.01960784313727,1.5050980392156863
36,Chicken,"('Turkey', 'Cod', 'Carrots', 'Chicken Egg')",100,99.0,1.5048
37,Chicken,"('Turkey', 'Cod', 'Rice, White')",130,96.92307692307692,1.4732307692307691
38,Chicken,"('Turkey', 'Cod', 'Rice, White', 'Potatoes, White')",109,98.1651376146789,1.4921100917431194
39,Chicken,"('Turkey', 'Cod', 'Rice, White', 'Chicken Egg')",101,98.01980198019803,1.48990099009901
40,Chicken,"('Turkey', 'Cod', 'Rice, White', 'Chicken Egg', 'Potatoes, White')",88,97.72727272727273,1.4854545454545454
41,Chicken,"('Turkey', 'Cod', 'Rice, White', 'Carrots')",100,98.0,1.4896
42,Chicken,"('Tuna', 'Potatoes, White')",170,90.58823529411765,1.3769411764705883
43,Chicken,"('Tuna', 'Chicken Egg')",182,90.10989010989012,1.3696703296703296
44,Chicken,"('Tuna', 'Chicken Egg', 'Potatoes, White')",136,92.64705882352942,1.408235294117647
45,Chicken,"('Tuna', 'Carrots', 'Potatoes, White')",135,90.37037037037037,1.3736296296296295
46,Chicken,"('Tuna', 'Carrots', 'Chicken Egg')",125,92.80000000000001,1.41056
47,Chicken,"('Tuna', 'Carrots', 'Chicken Egg', 'Potatoes, White')",104,92.3076923076923,1.403076923076923
48,Chicken,"('Tuna', 'Rice, White')",160,90.625,1.3775
49,Chicken,"('Tuna', 'Rice, White', 'Potatoes, White')",131,93.12977099236642,1.4155725190839694
50,Chicken,"('Tuna', 'Rice, White', 'Chicken Egg')",126,92.85714285714286,1.4114285714285715
51,Chicken,"('Tuna', 'Rice, White', 'Chicken Egg', 'Potatoes, White')",107,94.39252336448598,1.434766355140187
52,Chicken,"('Tuna', 'Rice, White', 'Carrots')",123,91.869918699187,1.3964227642276423
53,Chicken,"('Tuna', 'Rice, White', 'Carrots', 'Potatoes, White')",108,92.5925925925926,1.4074074074074074
54,Chicken,"('Tuna', 'Rice, White', 'Carrots', 'Chicken Egg')",93,94.6236559139785,1.438279569892473
55,"Potatoes, White","('Tuna', 'Rice, White', 'Carrots', 'Chicken Egg')",93,90.32258064516128,1.7814488224132157
